StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF2_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF2_1.Aligned.sortedByCoord.216.bam,0.0552013877756,0.939806119694,0.0867601880298,0.123963623861,0.0579367349247,0.237251538391
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAPH1_2.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAPH1_2.Aligned.sortedByCoord.216.bam,0.0642778539285,0.929654643841,0.0922901086612,0.130140837599,0.0628108602261,0.25429828046
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASL12_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASL12_1.Aligned.sortedByCoord.216.bam,0.0613590303348,0.932717859553,0.0908932509431,0.128898857485,0.0634017922043,0.243195208486
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RAP1B_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RAP1B_3.Aligned.sortedByCoord.216.bam,0.0609326295291,0.954552359325,0.0926037602707,0.132370597254,0.0565430942764,0.234788920726
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF4_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF4_1.Aligned.sortedByCoord.216.bam,0.0610945725387,0.915640077409,0.0846413199328,0.12538051437,0.0598641495984,0.240389041613
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RASSF3_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RASSF3_1.Aligned.sortedByCoord.216.bam,0.0624516357577,0.926430955255,0.0975939858145,0.128602745839,0.0624032013448,0.250035598978
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RANBP9_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RANBP9_1.Aligned.sortedByCoord.216.bam,0.0602231932243,0.930563060073,0.0892845734146,0.132026110706,0.0614331233217,0.236941669428
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RALGAPB_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RALGAPB_1.Aligned.sortedByCoord.216.bam,0.0598109884107,0.916183605305,0.0912309882507,0.121756419478,0.0570409360038,0.238147008726
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RABEPK_1.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RABEPK_1.Aligned.sortedByCoord.216.bam,0.0626246704736,0.936156273841,0.0945653673686,0.129985808202,0.0605266246665,0.252047077413
RefSeqThenMMSites,Editing_Index_Unknown,GAMMA_RBM11_3.,/tscc/projects/ps-malilab/ydoctor/KOLF_Perturbation_Atlas/alu_editing/merged_bam_files/GAMMA_RBM11_3.Aligned.sortedByCoord.216.bam,0.0628496925047,0.92036225547,0.0923919972596,0.131257384744,0.0606959805773,0.248639504194
