Batch,Gene,Gene Average AEI,Gene Average Z-Score,Gene Number of sgRNAs,observed_stat,p_value,num_permutations,p_value_corrected
ALPHA,THAP5,0.9268131154820001,0.6708462297306523,3,0.007668203350169378,0.2687373126268737,100000.0,0.5516020972153574
ALPHA,THAP2,0.92386726431,0.41313095252165716,3,0.004722352178169409,0.4920350796492035,100000.0,0.7441811562869679
ALPHA,THUMPD3,0.9044042390066668,-1.289575215749842,3,-0.014740673125163917,0.023419765802341976,100000.0,0.12682927040698633
ALPHA,TIGD1,0.930524984626,0.9955759358685248,2,0.01138007249416928,0.19453968253968254,100000.0,0.46360873664633884
ALPHA,TIGD2,0.9406398194016666,1.8804636290795653,3,0.02149490726983594,0.0034199658003419967,100000.0,0.03904833014333042
ALPHA,THAP12,0.9113006495176666,-0.6862486242768814,3,-0.007844262614164044,0.25053749462505376,100000.0,0.5305994785088469
ALPHA,TET3,0.946090116058,2.35727818339548,2,0.02694520392616928,0.021841269841269842,100000.0,0.12159372758226991
ALPHA,THUMPD2,0.908397723413,-0.9402086385818383,3,-0.010747188718830625,0.11251887481125189,100000.0,0.33817528491381754
ALPHA,TFE3,0.9102582342445,-0.7774434353537255,2,-0.008886677887330663,0.2867301587301587,100000.0,0.5694375481313307
ALPHA,TET1,0.9134782121953333,-0.49574641070652287,3,-0.005666699936497377,0.4054359456405436,100000.0,0.6794295421675023
ALPHA,THRAP3,0.9154005064706666,-0.3275761355909459,3,-0.003744405661163963,0.5853141468585314,100000.0,0.8070562081703793
ALPHA,TERF2IP,0.9261464098276667,0.6125200542074459,3,0.007001497695836023,0.31361686383136167,100000.0,0.5973199240133034
ALPHA,TFB2M,0.9256908121126667,0.5726624766987717,3,0.00654589998083599,0.34677653223467764,100000.0,0.6296839334033543
ALPHA,TFAM,0.9602063774493333,3.5922272711839884,3,0.041061465317502654,3.999960000399996e-05,100000.0,0.0024988321545355973
ALPHA,THAP8,0.9165448847326667,-0.22746117940222174,3,-0.0026000273991639844,0.7069729302706973,100000.0,0.8762019193804379
ALPHA,TERB1,0.92603229766,0.6025370485475994,3,0.006887385528169254,0.3133168668313317,100000.0,0.5971228915161829
ALPHA,TERT,0.902441263119,-1.461304487022272,2,-0.016703649012830724,0.03073015873015873,100000.0,0.14994386587087838
ALPHA,TFB1M,0.9256139147946666,0.5659351804207496,3,0.006469002662835899,0.35293647063529365,100000.0,0.6349855762222666
ALPHA,TIGD3,0.9180649411723333,-0.09448033826351099,3,-0.0010799709594974116,0.8769912300876991,100000.0,0.9581613651762558
ALPHA,THAP7,0.9163038470195,-0.2485481581528851,2,-0.0028410651123307318,0.752,100000.0,0.8992910342194104
ALPHA,TFEB,0.9034811697755,-1.3703291401348645,2,-0.015663742356330723,0.05561904761904762,100000.0,0.21813796211813666
ALPHA,TERF1,0.9340366302326667,1.302789256617321,3,0.014891718100836004,0.03729962700372996,100000.0,0.17059421804249392
ALPHA,TFAP4,0.9216569296574999,0.21976171068485562,2,0.002512017525669208,0.769015873015873,100000.0,0.9082475472841816
ALPHA,TFCP2L1,0.9104589387074999,-0.7598849765928858,2,-0.00868597342433075,0.29663492063492064,100000.0,0.5801794307638319
ALPHA,THRA,0.9192635717325,0.010380833957487068,2,0.00011865960066925751,0.9846349206349206,100000.0,0.99635005963684
ALPHA,THAP9,0.929124057278,0.873017001706767,2,0.009979145146169266,0.23923809523809525,100000.0,0.5176586791074669
ALPHA,TGFB1I1,0.9197919793055,0.05660811979235486,2,0.0006470671736693578,0.9406984126984127,100000.0,0.9820308958524165
ALPHA,THAP6,0.9163294592006667,-0.24630749832864085,3,-0.002815452931164031,0.6803731962680373,100000.0,0.8616484179786061
ALPHA,TGIF2,0.916101611379,-0.26624057067133616,3,-0.0030433007528306577,0.6593134068659313,100000.0,0.8494188971794182
ALPHA,TFEC,0.9267301712813333,0.6635899270800436,3,0.007585259149502588,0.2716972830271697,100000.0,0.5544994235152121
ALPHA,TET2,0.9165301852226667,-0.22874715349707483,3,-0.002614726909163978,0.7033329666703333,100000.0,0.873399137654229
ALPHA,TGIF1,0.929267489927,0.8855650846680585,2,0.01012257779516934,0.24711111111111111,100000.0,0.5281607472575215
ALPHA,TFDP1,0.9002886919916667,-1.6496203361274882,3,-0.01885622014016397,0.011439885601143989,100000.0,0.08400775773938315
ALPHA,TEN1,0.9144062145646666,-0.41456091493656494,3,-0.004738697567164052,0.4927950720492795,100000.0,0.7442860677592499
ALPHA,TFAP2E,0.9222458669265,0.2712843853473412,2,0.0031009547946693194,0.7222857142857143,100000.0,0.881908537923057
ALPHA,TFAP2A,0.9298684636795,0.9381407608233834,2,0.010723551547669352,0.21282539682539683,100000.0,0.48765284795255975
ALPHA,TENT4B,0.8988405081903333,-1.776313460803166,3,-0.02030440394149735,0.0012199878001219987,100000.0,0.019621964215603794
ALPHA,TFCP2,0.932191529354,1.1413721799693808,2,0.013046617222169266,0.12165079365079365,100000.0,0.35379077060293224
ALPHA,THRB,0.917572929536,-0.13752355662189616,2,-0.0015719825958306899,0.8614603174603175,100000.0,0.9536044469956515
ALPHA,THAP11,0.920103418361,0.08385409993038145,2,0.0009585062291692648,0.9125079365079365,100000.0,0.9714904945463679
ALPHA,SETD2,0.8813960894399999,-3.3024235564940274,2,-0.037748822691830775,0.00025396825396825396,100000.0,0.006102215245072388
ALPHA,SCG2,0.9047281322705,-1.2612396898182123,2,-0.01441677986133072,0.07720634920634921,100000.0,0.26526290903626704
ALPHA,SAFB2,0.926072895148,0.6060886851588989,2,0.006927983016169259,0.4071111111111111,100000.0,0.681561850410204
ALPHA,SART3,0.8932510234515,-2.265304765800394,2,-0.025893888680330712,0.0007619047619047619,100000.0,0.013969851252870123
ALPHA,SAP30,0.887621527212,-2.757796442806856,2,-0.031523384919830644,0.0007619047619047619,100000.0,0.013969851252870123
