Batch,Gene,sgRNA,AEI,A2CEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
ALPHA,THAP5,THAP5_2,0.931499172032,0.0677992298861,0.10696003554,0.0847276272466,0.062715116273,0.269004416518
ALPHA,THAP2,THAP2_1,0.927552436652,0.0627896128364,0.0936516050603,0.0835278351224,0.0584866142479,0.242971133328
ALPHA,THUMPD3,THUMPD3_3,0.898194183901,0.0616976238098,0.0934577287341,0.0807920520066,0.0552810827867,0.242378338279
ALPHA,TIGD1,TIGD1_3,0.951302254133,0.066775308803,0.107478318702,0.0850087858527,0.060808717782,0.265499079891
ALPHA,TIGD2,TIGD2_3,0.958487531056,0.0651676063535,0.0985423586467,0.0824405816064,0.0611413692298,0.261767724668
ALPHA,THAP12,THAP12_1,0.918188307428,0.0653882901726,0.100514569816,0.0839389585948,0.0567948161626,0.254562628147
ALPHA,TET3,TET3_1,0.912946431913,0.0617703490841,0.0922687857449,0.0785256072084,0.0550763122136,0.241670227931
ALPHA,TIGD1,TIGD1_2,0.909747715119,0.0614025106327,0.0897423645167,0.0789680110593,0.0571709450993,0.244004377245
ALPHA,THUMPD2,THUMPD2_1,0.914157383183,0.0658787134789,0.103305153123,0.0847344920524,0.0583706313188,0.254711312447
ALPHA,TFE3,TFE3_1,0.908941774762,0.0610556601646,0.0935814392712,0.0817376364832,0.0593770772784,0.254863672525
ALPHA,TET1,TET1_3,0.909478385087,0.0739384153346,0.104913925801,0.0849277766709,0.0606740858896,0.25909201045
ALPHA,THRAP3,THRAP3_1,0.931950338837,0.0625072073459,0.0954588264836,0.0831131147794,0.0591612227319,0.252946086688
ALPHA,THAP12,THAP12_3,0.895852857219,0.0635898426874,0.0959300120617,0.0801870751643,0.0567351963867,0.250681832991
ALPHA,TERF2IP,TERF2IP_3,0.949221168674,0.0647638267192,0.0997273784228,0.0854276762185,0.0593224400128,0.260486120974
ALPHA,TFE3,TFE3_2,0.911574693727,0.0617545081471,0.0999956237743,0.0825693506294,0.0594715704406,0.242822630318
