Depmap,KOLF2
AAMP,RAPGEF1
AARS1,FECH
AATF,MON2
ABCB7,C2CD2L
ABCE1,CEP192
ABCF1,ANKRD40
ABT1,MCTS1
ACD,QDPR
ACIN1,CHCHD4
ACO2,DENND4C
ACTB,COQ2
ACTG1,CYP2U1
ACTL6A,SENP6
ACTR10,MSANTD3
ACTR1A,ARGLU1
ACTR2,DCAF4L1
ACTR3,SPTLC2
ACTR6,IRS1
ACTR8,HYLS1
ADAR,INTS11
ADSL,USP42
ADSS2,TRIM39
AFG3L2,LYRM4
AGAP5,SPECC1L
AGAP6,USP1
AHCTF1,ZRANB2
AHCY,CRNKL1
AK6,UFL1
AKIRIN2,NEMF
ALDOA,SNF8
ALDOC,ATG14
ALG1,SEC14L1
ALG10B,UQCC1
ALG11,SLC39A7
ALG13,VPS52
ALG14,SUGP2
ALG2,INIP
ALYREF,AP1B1
AMY2A,PI4KA
ANAPC1,RICTOR
ANAPC10,C6orf136
ANAPC11,SLX1B
ANAPC13,INPP5K
ANAPC15,PBDC1
ANAPC2,TAX1BP1
ANAPC4,SHQ1
ANAPC5,TMEM242
ANKLE2,MSN
ANKRD18B,MRPL45
ANKRD35,LAMTOR4
ANLN,CNST
AP2M1,DLAT
AQP7,PINK1
AQR,USP19
ARCN1,MMAB
ARF4,CERT1
ARFRP1,MTPAP
ARGLU1,TMEM68
ARHGEF5,MRRF
ARIH1,ACOX1
ARL2,ACLY
ARMC7,UBE2Q1
ARPC2,ADPRM
ARPC3,CCDC22
ARPC4,MRPL32
ARPP19,PDZD11
ASCC3,HEATR5B
ASDURF,PTK2
ATAD5,TBC1D20
ATL2,PIP4P2
ATP1A1,CEP43
ATP23,CEP350
ATP2A2,PRC1
ATP5F1A,CELF5
ATP5F1B,NMU
ATP5F1C,RINT1
ATP5F1D,SREK1IP1
ATP5F1E,ERH
ATP5MC2,GPR108
ATP5MF,UBE2Z
ATP5PB,FBXL18
ATP5PD,NGLY1
ATP5PO,VPS25
ATP6AP1,GTPBP10
ATP6AP2,ANKRD17
ATP6V0B,GPATCH8
ATP6V0C,UBE2W
ATP6V0D1,MRNIP
ATP6V1A,SGO2
ATP6V1B2,GDF9
ATP6V1C1,ZC3H13
ATP6V1D,NAP1L4
ATP6V1E1,GOSR2
ATP6V1F,PDSS1
ATP6V1G1,DMAC1
ATP6V1H,SLC35D3
ATR,NANOG
ATRIP,MRPS28
ATXN10,COQ6
AURKA,MRPS11
AURKAIP1,TRIM3
AURKB,KCTD2
BANF1,NDUFAF1
BANP,CCDC12
BARD1,PSMB7
BCAS2,NMD3
BCCIP,EXOC1
BCL2L1,NFU1
BCLAF1,SMG8
BDP1,EIF3K
