A1BG	ENSG00000121410
A1CF	ENSG00000148584
A4GALT	ENSG00000128274
AAAS	ENSG00000094914
AACS	ENSG00000081760
AADAT	ENSG00000109576
AAGAB	ENSG00000103591
AAMP	ENSG00000127837
AAR2	ENSG00000131043
AARD	ENSG00000205002
AARS1	ENSG00000090861
AARS2	ENSG00000124608
AASDH	ENSG00000157426
AASDHPPT	ENSG00000149313
AASS	ENSG00000008311
AATF	ENSG00000275700
ABAT	ENSG00000183044
ABCA2	ENSG00000107331
ABCA3	ENSG00000167972
ABCA7	ENSG00000064687
ABCB10	ENSG00000135776
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCB8	ENSG00000197150
ABCC1	ENSG00000103222
ABCC10	ENSG00000124574
ABCC5	ENSG00000114770
ABCD1	ENSG00000101986
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF2	ENSG00000033050
ABCF3	ENSG00000161204
ABCG1	ENSG00000160179
ABCG4	ENSG00000172350
ABHD10	ENSG00000144827
ABHD11	ENSG00000106077
ABHD12	ENSG00000100997
ABHD13	ENSG00000139826
ABHD14B	ENSG00000114779
ABHD15	ENSG00000168792
ABHD16B	ENSG00000183260
ABHD17A	ENSG00000129968
ABHD17B	ENSG00000107362
ABHD17C	ENSG00000136379
ABHD2	ENSG00000140526
ABHD4	ENSG00000100439
ABHD5	ENSG00000011198
ABHD8	ENSG00000127220
ABI1	ENSG00000136754
ABI2	ENSG00000138443
ABI3	ENSG00000108798
ABITRAM	ENSG00000119328
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABLIM1	ENSG00000099204
ABRA	ENSG00000174429
ABRACL	ENSG00000146386
ABRAXAS1	ENSG00000163322
ABRAXAS2	ENSG00000165660
ABT1	ENSG00000146109
ABTB1	ENSG00000114626
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACA	ENSG00000278540
ACACB	ENSG00000076555
ACAD10	ENSG00000111271
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646
ACADM	ENSG00000117054
ACADS	ENSG00000122971
ACADSB	ENSG00000196177
ACADVL	ENSG00000072778
ACAP1	ENSG00000072818
ACAP2	ENSG00000114331
ACAP3	ENSG00000131584
ACAT1	ENSG00000075239
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827
ACBD4	ENSG00000181513
ACBD5	ENSG00000107897
ACBD6	ENSG00000230124
ACBD7	ENSG00000176244
ACCS	ENSG00000110455
ACD	ENSG00000102977
ACE	ENSG00000159640
ACER2	ENSG00000177076
ACER3	ENSG00000078124
ACHE	ENSG00000087085
ACIN1	ENSG00000100813
ACKR1	ENSG00000213088
ACLY	ENSG00000131473
ACO1	ENSG00000122729
ACO2	ENSG00000100412
ACOT1	ENSG00000184227
ACOT13	ENSG00000112304
ACOT2	ENSG00000119673
ACOT4	ENSG00000177465
ACOT7	ENSG00000097021
ACOT8	ENSG00000101473
ACOT9	ENSG00000123130
ACOX1	ENSG00000161533
ACP1	ENSG00000143727
ACP2	ENSG00000134575
ACP5	ENSG00000102575
ACP6	ENSG00000162836
ACSBG1	ENSG00000103740
ACSBG2	ENSG00000130377
ACSF2	ENSG00000167107
ACSF3	ENSG00000176715
ACSL1	ENSG00000151726
ACSL3	ENSG00000123983
ACSL4	ENSG00000068366
ACSL5	ENSG00000197142
ACSL6	ENSG00000164398
ACSM1	ENSG00000166743
ACSM2A	ENSG00000183747
ACSM2B	ENSG00000066813
ACSM3	ENSG00000005187
ACSM4	ENSG00000215009
ACSM5	ENSG00000183549
ACSM6	ENSG00000173124
ACSS1	ENSG00000154930
ACSS2	ENSG00000131069
ACSS3	ENSG00000111058
ACTA1	ENSG00000143632
ACTB	ENSG00000075624
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTL10	ENSG00000288649
ACTL6A	ENSG00000136518
ACTL6B	ENSG00000077080
ACTMAP	ENSG00000188493
ACTN1	ENSG00000072110
ACTN3	ENSG00000248746
ACTN4	ENSG00000130402
ACTR10	ENSG00000131966
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR3B	ENSG00000133627
ACTR5	ENSG00000101442
ACTR6	ENSG00000075089
ACTR8	ENSG00000113812
ACTRT3	ENSG00000184378
ACVR1B	ENSG00000135503
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACY1	ENSG00000243989
ACYP1	ENSG00000119640
ADA2	ENSG00000093072
ADAD2	ENSG00000140955
ADAL	ENSG00000168803
ADAM10	ENSG00000137845
ADAM11	ENSG00000073670
ADAM15	ENSG00000143537
ADAM17	ENSG00000151694
ADAM19	ENSG00000135074
ADAM33	ENSG00000149451
ADAM8	ENSG00000151651
ADAM9	ENSG00000168615
ADAMTS1	ENSG00000154734
ADAMTS10	ENSG00000142303
ADAMTS13	ENSG00000160323
ADAMTS15	ENSG00000166106
ADAMTS16	ENSG00000145536
ADAMTS4	ENSG00000158859
